"buffer_center","children"
"7257","7295"
"7257","7257"
"7257","7256"
"7256","7296"
"7256","7295"
"7256","7257"
"7256","7256"
"7255","7297"
"7255","7255"
"7254","7298"
"7254","7254"
"7253","7299"
"7253","7253"
"7252","7319"
"7252","7300"
"7252","7252"
"7252","4482"
"7251","7251"
"7250","7302"
"7250","7250"
"7249","7303"
"7249","7249"
"7248","7305"
"7248","7304"
"7248","7248"
"7247","7306"
"7247","7305"
"7247","7304"
"7247","7247"
"7247","7246"
"7246","7306"
"7246","7247"
"7246","7246"
"7245","7307"
"7245","7245"
"7245","6767"
"7245","4532"
"7242","7242"
"7242","6769"
"7240","7240"
"7240","6771"
"7236","7236"
"7236","6830"
"7234","7234"
"7234","6831"
"7233","7233"
"7233","6833"
"7230","7230"
"7230","7229"
"7230","6836"
"7230","6835"
"7229","7230"
"7229","7229"
"7229","6836"
"7229","6835"
"7228","7228"
"7228","7227"
"7228","6837"
"7227","7228"
"7227","7227"
"7227","6838"
"7226","7226"
"7226","6839"
"7225","7225"
"7225","6840"
"7223","7223"
"7223","6842"
"7223","6146"
"7223","6135"
"7222","7222"
"7222","6844"
"7222","6843"
"7220","7220"
"7220","6846"
"7219","7219"
"7219","6847"
"7218","7218"
"7218","6848"
"7217","7217"
"7217","6849"
"7216","7216"
"7216","6851"
"7216","6850"
"7214","7214"
"7214","4537"
"7214","4477"
"7212","66854"
"7212","7212"
"7211","7211"
"7211","6855"
"7210","7210"
"7210","6857"
"7209","7209"
"7209","7208"
"7209","6858"
"7208","7209"
"7208","7208"
"7208","7207"
"7208","6859"
"7207","7208"
"7207","7207"
"7207","6860"
"7207","6859"
"7206","7206"
"7206","6860"
"7205","7205"
"7205","6861"
"7202","7202"
"7202","6863"
"7201","16683"
"7201","7201"
"7200","7266"
"7200","7265"
"7200","7200"
"7199","7268"
"7199","7199"
"7194","7194"
"7194","7102"
"7193","7193"
"7193","7104"
"7193","7103"
"7192","7192"
"7192","7104"
"7191","7191"
"7191","7106"
"7190","7190"
"7190","7107"
"7189","7189"
"7189","7110"
"7189","7109"
"7188","7188"
"7188","7110"
"7187","7187"
"7187","7111"
"7186","7186"
"7186","7185"
"7186","7112"
"7185","7186"
"7185","7185"
"7185","7113"
"7185","7112"
"7184","7184"
"7184","7114"
"7183","7183"
"7183","7115"
"7182","7182"
"7182","7117"
"7181","7181"
"7181","7180"
"7181","7118"
"7180","7181"
"7180","7180"
"7180","7118"
"7178","7178"
"7178","7121"
"7177","7177"
"7177","7124"
"7177","7123"
"7176","7176"
"7175","7175"
"7174","7174"
"7173","7173"
"7173","7128"
"7172","7172"
"7172","7129"
"7170","7170"
"7169","7169"
"7169","7168"
"7169","7133"
"7169","7132"
"7168","7169"
"7168","7168"
"7168","7134"
"7168","7133"
"7164","7164"
"7164","7140"
"7163","7163"
"7163","7162"
"7163","7141"
"7162","7163"
"7162","7162"
"7162","7141"
"7162","7139"
"7155","17153"
"7155","7155"
"7155","7154"
"7155","7150"
"7154","17153"
"7154","7155"
"7154","7154"
"7154","7150"
"7153","17150"
"7153","7153"
"7153","6181"
"7153","6103"
"7150","17153"
"7150","7155"
"7150","7154"
"7150","7150"
"7142","7142"
"7141","7163"
"7141","7162"
"7141","7141"
"7140","7164"
"7140","7140"
"7139","7162"
"7139","7139"
"7138","7138"
"7136","7136"
"7135","17166"
"7135","7135"
"7134","7168"
"7134","7134"
"7133","7169"
"7133","7168"
"7133","7133"
"7133","7132"
"7132","7169"
"7132","7133"
"7132","7132"
"7131","17170"
"7131","7131"
"7130","7130"
"7130","7129"
"7129","7172"
"7129","7130"
"7129","7129"
"7128","7173"
"7128","7128"
"7127","7127"
"7126","7126"
"7125","7125"
"7124","7177"
"7124","7124"
"7124","7123"
"7123","7177"
"7123","7124"
"7123","7123"
"7121","7178"
"7121","7121"
"7120","7120"
"7118","7181"
"7118","7180"
"7118","7118"
"7117","7182"
"7117","7117"
"7115","7183"
"7115","7115"
"7114","7184"
"7114","7114"
"7113","7185"
"7113","7113"
"7112","7186"
"7112","7185"
"7112","7112"
"7111","7187"
"7111","7111"
"7110","7189"
"7110","7188"
"7110","7110"
"7109","7189"
"7109","7109"
"7107","7190"
"7107","7107"
"7106","7191"
"7106","7106"
"7105","7105"
"7104","7193"
"7104","7192"
"7104","7104"
"7104","7103"
"7103","7193"
"7103","7104"
"7103","7103"
"7102","7194"
"7102","7102"
"7101","7101"
"7100","17100"
"7100","7100"
"7097","place-aport"
"7097","70048"
"7097","70047"
"7097","7097"
"7097","7096"
"7096","place-aport"
"7096","70048"
"7096","70047"
"7096","7097"
"7096","7096"
"7094","17094"
"7094","7094"
"6961","9101"
"6961","6961"
"6960","9102"
"6960","6960"
"6959","9103"
"6959","6959"
"6958","9104"
"6958","6958"
"6957","9105"
"6957","6957"
"6956","9106"
"6956","6956"
"6955","9107"
"6955","6955"
"6954","9108"
"6954","6954"
"6953","9109"
"6953","6953"
"6952","9111"
"6952","6952"
"6951","9113"
"6951","6951"
"6950","9114"
"6950","6950"
"6949","6949"
"6948","9116"
"6948","6948"
"6947","9117"
"6947","6947"
"6946","9118"
"6946","6946"
"6945","9119"
"6945","6945"
"6944","9120"
"6944","6944"
"6943","9121"
"6943","6943"
"6942","9122"
"6942","6942"
"6941","9123"
"6941","6941"
"6902","6902"
"6900","8230"
"6900","6900"
"6863","7202"
"6863","6863"
"6862","7263"
"6862","6862"
"6861","7205"
"6861","6861"
"6860","7207"
"6860","7206"
"6860","6860"
"6859","7208"
"6859","7207"
"6859","6859"
"6858","7209"
"6858","6858"
"6857","7210"
"6857","6857"
"6855","7211"
"6855","6855"
"6854","6854"
"6851","7216"
"6851","6851"
"6851","6850"
"6850","7216"
"6850","6851"
"6850","6850"
"6849","7217"
"6849","6849"
"6848","7218"
"6848","6848"
"6847","7219"
"6847","6847"
"6846","7220"
"6846","6846"
"6845","6845"
"6845","6844"
"6844","7222"
"6844","6845"
"6844","6844"
"6843","7222"
"6843","6843"
"6842","7223"
"6842","6842"
"6842","6146"
"6842","6135"
"6841","6841"
"6840","7225"
"6840","6840"
"6839","7226"
"6839","6839"
"6838","7227"
"6838","6838"
"6837","7228"
"6837","6837"
"6836","7230"
"6836","7229"
"6836","6836"
"6836","6835"
"6835","7230"
"6835","7229"
"6835","6836"
"6835","6835"
"6834","17231"
"6834","6834"
"6833","7233"
"6833","6833"
"6831","7234"
"6831","6831"
"6830","7236"
"6830","6830"
"6827","6827"
"6827","6675"
"6827","6674"
"6824","6824"
"6824","6780"
"6822","6822"
"6783","6783"
"6780","6824"
"6780","6780"
"6774","66731"
"6774","16653"
"6774","6774"
"6773","94323"
"6773","66731"
"6773","6773"
"6771","7240"
"6771","6771"
"6769","7242"
"6769","6769"
"6767","7307"
"6767","7245"
"6767","6767"
"6767","4532"
"6764","6764"
"6764","6681"
"6763","6763"
"6763","6682"
"6762","6762"
"6762","6683"
"6761","6761"
"6761","6685"
"6761","6684"
"6760","6760"
"6760","6686"
"6759","6759"
"6759","6687"
"6758","6758"
"6758","6688"
"6757","6757"
"6757","6689"
"6756","6756"
"6756","6690"
"6755","6755"
"6755","6691"
"6754","6754"
"6754","6692"
"6754","6691"
"6752","6752"
"6752","6751"
"6752","6695"
"6752","6694"
"6751","6752"
"6751","6751"
"6751","6750"
"6751","6695"
"6751","6694"
"6750","6751"
"6750","6750"
"6750","6696"
"6750","6695"
"6749","6749"
"6749","6697"
"6747","6747"
"6747","6698"
"6746","6746"
"6746","6700"
"6744","6744"
"6744","6701"
"6742","6742"
"6742","6702"
"6741","6741"
"6741","6704"
"6739","6739"
"6739","6706"
"6738","6738"
"6738","6707"
"6737","6737"
"6737","6708"
"6736","6736"
"6736","6735"
"6736","6710"
"6736","6709"
"6735","6736"
"6735","6735"
"6735","6734"
"6735","6710"
"6735","6709"
"6734","96734"
"6734","6735"
"6734","6734"
"6734","6710"
"6733","96735"
"6733","6733"
"6733","6712"
"6733","6711"
"6732","6732"
"6732","6713"
"6731","6731"
"6731","6714"
"6730","6730"
"6730","6716"
"6729","6729"
"6729","6717"
"6728","6728"
"6728","6718"
"6727","6727"
"6727","6719"
"6719","6727"
"6719","6719"
"6718","6728"
"6718","6718"
"6717","6729"
"6717","6717"
"6716","6730"
"6716","6716"
"6715","16730"
"6715","6715"
"6714","6731"
"6714","6714"
"6713","6732"
"6713","6713"
"6712","96735"
"6712","6733"
"6712","6712"
"6712","6711"
"6711","96735"
"6711","6733"
"6711","6712"
"6711","6711"
"6710","96734"
"6710","6736"
"6710","6735"
"6710","6734"
"6710","6710"
"6710","6709"
"6709","6736"
"6709","6735"
"6709","6710"
"6709","6709"
"6708","6737"
"6708","6708"
"6707","6738"
"6707","6707"
"6706","6739"
"6706","6706"
"6704","6741"
"6704","6704"
"6702","6742"
"6702","6702"
"6701","6744"
"6701","6701"
"6700","6746"
"6700","6700"
"6699","6699"
"6698","6747"
"6698","6698"
"6697","6749"
"6697","6697"
"6696","6750"
"6696","6696"
"6696","6695"
"6695","6752"
"6695","6751"
"6695","6750"
"6695","6696"
"6695","6695"
"6695","6694"
"6694","6752"
"6694","6751"
"6694","6695"
"6694","6694"
"6692","6754"
"6692","6692"
"6691","6755"
"6691","6754"
"6691","6691"
"6690","6756"
"6690","6690"
"6689","6757"
"6689","6689"
"6688","6758"
"6688","6688"
"6687","6759"
"6687","6687"
"6686","6760"
"6686","6686"
"6685","6761"
"6685","6685"
"6684","6761"
"6684","6684"
"6683","6762"
"6683","6683"
"6682","6763"
"6682","6682"
"6681","6764"
"6681","6681"
"6679","7308"
"6679","6679"
"6679","4531"
"6678","7310"
"6678","7309"
"6678","6678"
"6678","6677"
"6677","7310"
"6677","6678"
"6677","6677"
"6676","7311"
"6676","6676"
"6675","66761"
"6675","7312"
"6675","6827"
"6675","6675"
"6674","6827"
"6674","6674"
"6669","6669"
"6669","6600"
"6650","6650"
"6649","6649"
"6648","6648"
"6648","6609"
"6647","6647"
"6647","6610"
"6646","6646"
"6646","6611"
"6645","6645"
"6645","6612"
"6644","6644"
"6643","16642"
"6643","6643"
"6642","6642"
"6641","6641"
"6641","6640"
"6640","6641"
"6640","6640"
"6639","6639"
"6638","6638"
"6637","6637"
"6637","6636"
"6636","6637"
"6636","6636"
"6635","6635"
"6634","6634"
"6633","6633"
"6633","6632"
"6632","6633"
"6632","6632"
"6631","6631"
"6629","6629"
"6628","6628"
"6627","6627"
"6626","6626"
"6625","6625"
"6625","6624"
"6624","6625"
"6624","6624"
"6623","6623"
"6619","16619"
"6619","6619"
"6617","16616"
"6617","6617"
"6616","6616"
"6615","6615"
"6614","6614"
"6614","6613"
"6613","6614"
"6613","6613"
"6612","6645"
"6612","6612"
"6611","6646"
"6611","6611"
"6610","6647"
"6610","6610"
"6609","6648"
"6609","6609"
"6607","6607"
"6606","16606"
"6606","6606"
"6605","6605"
"6604","6604"
"6604","6603"
"6603","6604"
"6603","6603"
"6600","6669"
"6600","6600"
"6598","7859"
"6598","7797"
"6598","6598"
"6575","place-rvrwy"
"6575","70256"
"6575","70255"
"6575","21365"
"6575","6575"
"6575","1366"
"6575","1314"
"6574","place-hsmnl"
"6574","70260"
"6574","70258"
"6574","70257"
"6574","65741"
"6574","22365"
"6574","6574"
"6574","1761"
"6573","31365"
"6573","6573"
"6571","51365"
"6571","6571"
"6570","61365"
"6570","6570"
"6569","9318"
"6569","6569"
"6567","place-chncl"
"6567","70019"
"6567","70018"
"6567","6567"
"6567","6537"
"6565","place-tumnl"
"6565","70017"
"6565","70016"
"6565","49002"
"6565","6565"
"6564","South Station-09"
"6564","South Station-08"
"6564","South Station-07"
"6564","South Station-06"
"6564","South Station"
"6564","place-sstat"
"6564","74617"
"6564","74611"
"6564","70080"
"6564","70079"
"6564","6564"
"6564","892"
"6555","6555"
"6551","16551"
"6551","6551"
"6551","6535"
"6550","6550"
"6548","65471"
"6548","16539"
"6548","6548"
"6542","6542"
"6538","South Station-09"
"6538","South Station-08"
"6538","South Station-07"
"6538","South Station-06"
"6538","South Station-05"
"6538","South Station-04"
"6538","South Station-03"
"6538","South Station-02"
"6538","South Station-01"
"6538","South Station"
"6538","place-sstat"
"6538","74617"
"6538","74611"
"6538","70080"
"6538","70079"
"6538","6538"
"6537","place-chncl"
"6537","70019"
"6537","70018"
"6537","6567"
"6537","6537"
"6535","6551"
"6535","6535"
"6531","8940"
"6531","6531"
"6530","8941"
"6530","6530"
"6529","89410"
"6529","8942"
"6529","8344"
"6529","6529"
"6528","8943"
"6528","6528"
"6527","8944"
"6527","6527"
"6526","8952"
"6526","8946"
"6526","6526"
"6526","6519"
"6524","8947"
"6524","6524"
"6523","8948"
"6523","6523"
"6522","11618"
"6522","8949"
"6522","6522"
"6520","8951"
"6520","6520"
"6519","8952"
"6519","8946"
"6519","6526"
"6519","6519"
"6517","8954"
"6517","6517"
"6516","89414"
"6516","8955"
"6516","8337"
"6516","6516"
"6515","89413"
"6515","8970"
"6515","8335"
"6515","6515"
"6514","8971"
"6514","6514"
"6513","8973"
"6513","6513"
"6512","8975"
"6512","6512"
"6509","6509"
"6508","6508"
"6507","6507"
"6507","6468"
"6505","6505"
"6505","6470"
"6504","6504"
"6504","6471"
"6502","6502"
"6502","6472"
"6500","6500"
"6500","6474"
"6498","6498"
"6498","6476"
"6496","6496"
"6496","6478"
"6496","6459"
"6495","76479"
"6495","6495"
"6480","56495"
"6480","6480"
"6479","76495"
"6479","6479"
"6478","6496"
"6478","6478"
"6478","6459"
"6476","6498"
"6476","6476"
"6474","6500"
"6474","6474"
"6473","16498"
"6473","6473"
"6472","6502"
"6472","6472"
"6471","6504"
"6471","6471"
"6470","6505"
"6470","6470"
"6468","6507"
"6468","6468"
"6467","6467"
"6466","6466"
"6464","6464"
"6463","6463"
"6463","6430"
"6462","6462"
"6462","6431"
"6461","6461"
"6461","6432"
"6460","6460"
"6460","6433"
"6459","6496"
"6459","6478"
"6459","6459"
"6433","6460"
"6433","6433"
"6432","6461"
"6432","6432"
"6431","6462"
"6431","6431"
"6430","6463"
"6430","6430"
"6428","6428"
"6428","6022"
"6428","636"
"6428","602"
"6419","6419"
"6419","6392"
"6418","64171"
"6418","6418"
"6417","6417"
"6415","6415"
"6413","6413"
"6411","6411"
"6410","6410"
"6410","6409"
"6409","6410"
"6409","6409"
"6408","6408"
"6407","6407"
"6407","6406"
"6406","6407"
"6406","6406"
"6405","6405"
"6403","6403"
"6402","6402"
"6402","6401"
"6401","6402"
"6401","6401"
"6400","6400"
"6400","6399"
"6399","6400"
"6399","6399"
"6398","6398"
"6397","6397"
"6396","6396"
"6395","6395"
"6394","6394"
"6393","6393"
"6392","6419"
"6392","6392"
"6390","6390"
"6390","6378"
"6390","6357"
"6378","6390"
"6378","6378"
"6378","6357"
"6377","6377"
"6377","6359"
"6376","6376"
"6376","6360"
"6375","16360"
"6375","6375"
"6374","6374"
"6373","6373"
"6373","6362"
"6372","63621"
"6372","6372"
"6371","6371"
"6371","6364"
"6370","16364"
"6370","6370"
"6369","6369"
"6369","6365"
"6368","96434"
"6368","6368"
"6368","6366"
"6368","1721"
"6366","96434"
"6366","6368"
"6366","6366"
"6366","1721"
"6365","6369"
"6365","6365"
"6364","16364"
"6364","6371"
"6364","6364"
"6362","6373"
"6362","6362"
"6361","6361"
"6360","6376"
"6360","6360"
"6359","6377"
"6359","6359"
"6357","6390"
"6357","6378"
"6357","6357"
"6324","15002"
"6324","6324"
"6323","6323"
"6323","5004"
"6322","6322"
"6322","5008"
"6322","5006"
"6322","5005"
"6321","6321"
"6321","6298"
"6320","6320"
"6320","6299"
"6319","6319"
"6319","6300"
"6318","6318"
"6318","6301"
"6317","6317"
"6317","6302"
"6316","6316"
"6316","6303"
"6315","6315"
"6315","6305"
"6314","6314"
"6314","6306"
"6313","6313"
"6313","6307"
"6312","6312"
"6312","6308"
"6311","6311"
"6311","6309"
"6310","16310"
"6310","9145"
"6310","8692"
"6310","6310"
"6309","6311"
"6309","6309"
"6308","6312"
"6308","6308"
"6307","6313"
"6307","6307"
"6306","6314"
"6306","6306"
"6305","6315"
"6305","6305"
"6304","West Medford"
"6304","place-NHRML-0055"
"6304","16316"
"6304","6304"
"6303","6316"
"6303","6303"
"6302","6317"
"6302","6302"
"6301","6318"
"6301","6301"
"6300","6319"
"6300","6300"
"6299","6320"
"6299","6299"
"6298","6321"
"6298","6298"
"6292","6292"
"6285","9067"
"6285","6285"
"6285","6284"
"6284","6285"
"6284","6284"
"6283","6283"
"6281","6281"
"6281","6250"
"6280","6280"
"6280","6251"
"6278","6278"
"6278","6253"
"6278","6252"
"6277","6277"
"6277","6254"
"6277","6253"
"6275","6275"
"6275","6256"
"6274","6274"
"6274","6257"
"6272","6272"
"6272","6259"
"6271","6271"
"6271","6260"
"6269","6269"
"6269","6262"
"6267","6267"
"6262","6269"
"6262","6262"
"6260","6271"
"6260","6260"
"6259","6272"
"6259","6259"
"6258","6258"
"6257","6274"
"6257","6257"
"6256","6275"
"6256","6256"
"6256","6255"
"6255","6256"
"6255","6255"
"6254","6277"
"6254","6254"
"6253","6278"
"6253","6277"
"6253","6253"
"6253","6252"
"6252","6278"
"6252","6253"
"6252","6252"
"6251","6280"
"6251","6251"
"6250","6281"
"6250","6250"
"6230","6230"
"6230","6213"
"6218","6218"
"6218","2359"
"6217","6217"
"6217","2360"
"6213","6230"
"6213","6213"
"6212","7474"
"6212","6212"
"6208","7526"
"6208","7478"
"6208","6208"
"6207","47527"
"6207","47526"
"6207","6207"
"6206","47527"
"6206","6206"
"6204","12323"
"6204","6204"
"6203","32358"
"6203","6203"
"6202","6202"
"6201","22358"
"6201","6201"
"6181","17150"
"6181","7153"
"6181","6181"
"6181","6103"
"6180","6180"
"6180","6104"
"6178","6178"
"6178","6106"
"6177","6177"
"6177","6108"
"6177","6107"
"6176","6176"
"6176","6109"
"6175","6175"
"6175","6110"
"6174","6174"
"6174","6111"
"6173","6173"
"6173","6112"
"6171","16170"
"6171","6171"
"6171","6114"
"6171","6113"
"6170","6170"
"6170","6115"
"6169","6169"
"6169","6116"
"6168","6168"
"6167","16118"
"6167","6167"
"6167","6166"
"6167","6118"
"6166","16118"
"6166","6167"
"6166","6166"
"6165","6165"
"6165","6119"
"6164","6164"
"6164","6120"
"6163","6163"
"6163","6121"
"6162","6162"
"6162","6122"
"6161","6161"
"6161","6123"
"6160","6160"
"6160","6159"
"6160","6124"
"6159","6160"
"6159","6159"
"6159","6124"
"6158","6158"
"6158","6125"
"6157","6157"
"6157","6126"
"6156","6156"
"6156","6127"
"6155","6155"
"6155","6154"
"6155","6128"
"6154","6155"
"6154","6154"
"6154","6128"
"6153","6153"
"6153","6129"
"6152","6152"
"6152","6130"
"6151","6151"
"6151","6131"
"6150","6150"
"6150","6132"
"6149","16132"
"6149","6149"
"6148","6148"
"6148","6133"
"6147","6147"
"6147","6134"
"6146","7223"
"6146","6842"
"6146","6146"
"6146","6135"
"6145","6145"
"6145","6136"
"6144","6144"
"6144","6138"
"6144","6137"
"6143","6143"
"6143","6139"
"6142","7313"
"6142","6142"
"6142","6140"
"6140","7374"
"6140","7313"
"6140","6142"
"6140","6140"
"6139","6143"
"6139","6139"
"6138","6144"
"6138","6138"
"6138","6137"
"6137","6144"
"6137","6138"
"6137","6137"
"6136","6145"
"6136","6136"
"6135","7223"
"6135","6842"
"6135","6146"
"6135","6135"
"6134","6147"
"6134","6134"
"6133","6148"
"6133","6133"
"6132","6150"
"6132","6132"
"6131","6151"
"6131","6131"
"6130","6152"
"6130","6130"
"6129","6153"
"6129","6129"
"6128","6155"
"6128","6154"
"6128","6128"
"6127","6156"
"6127","6127"
"6126","6157"
"6126","6126"
"6125","6158"
"6125","6125"
"6124","6160"
"6124","6159"
"6124","6124"
"6123","6161"
"6123","6123"
"6122","6162"
"6122","6122"
"6121","6163"
"6121","6121"
"6120","6164"
"6120","6120"
"6119","6165"
"6119","6119"
"6118","6167"
"6118","6118"
"6116","6169"
"6116","6116"
"6115","6170"
"6115","6115"
"6114","16170"
"6114","6171"
"6114","6114"
"6114","6113"
"6113","6171"
"6113","6114"
"6113","6113"
"6112","6173"
"6112","6112"
"6111","6174"
"6111","6111"
"6110","6175"
"6110","6110"
"6109","6176"
"6109","6109"
"6108","6177"
"6108","6108"
"6107","16177"
"6107","6177"
"6107","6107"
"6106","16177"
"6106","6178"
"6106","6106"
"6104","6180"
"6104","6104"
"6103","17150"
"6103","7153"
"6103","6181"
"6103","6103"
"6102","16102"
"6102","6102"
"6100","6100"
"6022","6428"
"6022","6022"
"6022","795"
"6022","635"
"5993","5993"
"5993","5963"
"5992","5992"
"5991","place-ogmnl"
"5991","Oak Grove-02"
"5991","Oak Grove-01"
"5991","70036"
"5991","9328"
"5991","9326"
"5991","5991"
"5990","5990"
"5990","5967"
"5988","15969"
"5988","5988"
"5987","25969"
"5987","5987"
"5986","15970"
"5986","5986"
"5985","15971"
"5985","5985"
"5983","19573"
"5983","5983"
"5982","15974"
"5982","5982"
"5980","Wyoming Hill"
"5980","place-WR-0062"
"5980","25974"
"5980","5980"
"5978","15975"
"5978","5978"
"5976","15976"
"5976","5976"
"5976","5975"
"5975","15976"
"5975","5976"
"5975","5975"
"5968","5968"
"5968","5967"
"5967","5990"
"5967","5968"
"5967","5967"
"5963","5993"
"5963","5963"
"5962","8691"
"5962","5962"
"5936","5936"
"5935","5935"
"5934","5934"
"5933","9073"
"5933","5933"
"5932","19073"
"5932","5932"
"5931","9074"
"5931","5931"
"5930","9076"
"5930","5930"
"5929","9228"
"5929","9201"
"5929","5929"
"5927","5927"
"5926","5926"
"5925","5925"
"5924","5924"
"5923","9085"
"5923","9084"
"5923","9083"
"5923","5923"
"5921","9086"
"5921","5921"
"5920","9088"
"5920","9087"
"5920","5920"
"5920","5919"
"5919","9088"
"5919","9087"
"5919","5920"
"5919","5919"
"5918","9089"
"5918","9088"
"5918","5918"
"5917","9090"
"5917","5917"
"5916","9091"
"5916","5916"
"5915","9092"
"5915","5915"
"5915","5914"
"5914","9093"
"5914","9092"
"5914","5915"
"5914","5914"
"5913","9095"
"5913","5913"
"5912","9096"
"5912","5912"
"5911","9097"
"5911","5911"
"5910","9098"
"5910","5910"
"5907","5907"
"5907","5450"
"5906","5906"
"5906","5898"
"5905","5905"
"5905","5899"
"5904","5904"
"5904","5900"
"5903","5903"
"5903","5901"
"5902","5902"
"5902","5734"
"5901","5903"
"5901","5901"
"5900","5904"
"5900","5900"
"5899","5905"
"5899","5899"
"5898","5906"
"5898","5898"
"5897","5897"
"5897","5670"
"5896","5896"
"5895","5895"
"5894","5894"
"5893","5893"
"5892","5892"
"5891","5891"
"5890","5890"
"5890","5889"
"5889","5890"
"5889","5889"
"5888","5888"
"5888","5887"
"5887","5888"
"5887","5887"
"5886","5886"
"5884","5884"
"5884","4728"
"5883","5883"
"5882","5882"
"5881","place-orhte"
"5881","70052"
"5881","70051"
"5881","5881"
"5881","5879"
"5880","place-orhte"
"5880","70052"
"5880","70051"
"5880","15880"
"5880","5880"
"5880","5879"
"5879","place-orhte"
"5879","70052"
"5879","70051"
"5879","15880"
"5879","5881"
"5879","5880"
"5879","5879"
"5878","5878"
"5878","5839"
"5877","5877"
"5877","5841"
"5875","5875"
"5875","5842"
"5874","5874"
"5874","5843"
"5873","5873"
"5873","5844"
"5872","5872"
"5871","5871"
"5871","5850"
"5870","5870"
"5870","5851"
"5869","5869"
"5869","5852"
"5868","5868"
"5868","5853"
"5867","5867"
"5867","5854"
"5867","5743"
"5865","5865"
"5864","5864"
"5863","5863"
"5862","5862"
"5861","5861"
"5860","5860"
"5859","5859"
"5858","5858"
"5857","5857"
"5854","5867"
"5854","5854"
"5854","5743"
"5853","5868"
"5853","5853"
"5852","5869"
"5852","5852"
"5851","5870"
"5851","5851"
"5850","5871"
"5850","5850"
"5849","5849"
"5849","5664"
"5848","5848"
"5848","5665"
"5846","56641"
"5846","5846"
"5846","5679"
"5844","5873"
"5844","5844"
"5843","5874"
"5843","5843"
"5842","5875"
"5842","5842"
"5841","5877"
"5841","5841"
"5839","5878"
"5839","5839"
"5837","5837"
"5835","5835"
"5835","5832"
"5835","5830"
"5833","5833"
"5832","46276"
"5832","45833"
"5832","5835"
"5832","5832"
"5832","5831"
"5831","46276"
"5831","45833"
"5831","5832"
"5831","5831"
"5830","5835"
"5830","5830"
"5829","5829"
"5828","5828"
"5827","5827"
"5826","5826"
"5826","5803"
"5825","5825"
"5825","5804"
"5824","5824"
"5824","5805"
"5823","5823"
"5823","5806"
"5822","5822"
"5822","5807"
"5821","5821"
"5819","place-bmmnl"
"5819","70056"
"5819","70055"
"5819","5819"
"5819","5810"
"5818","5818"
"5817","5817"
"5816","5816"
"5815","5815"
"5814","5814"
"5813","5813"
"5812","5812"
"5811","5811"
"5810","place-bmmnl"
"5810","70056"
"5810","70055"
"5810","5819"
"5810","5810"
"5809","5809"
"5807","5822"
"5807","5807"
"5806","5823"
"5806","5806"
"5805","5824"
"5805","5805"
"5804","5825"
"5804","5804"
"5803","5826"
"5803","5803"
"5801","5801"
"5801","5760"
"5798","5798"
"5798","5781"
"5797","5797"
"5794","5794"
"5794","5786"
"5792","15787"
"5792","5792"
"5790","5790"
"5788","5788"
"5786","5794"
"5786","5786"
"5784","5784"
"5784","4717"
"5783","5783"
"5781","5798"
"5781","5781"
"5780","place-rbmnl"
"5780","70058"
"5780","70057"
"5780","5780"
"5779","5779"
"5776","5776"
"5774","5774"
"5774","5700"
"5771","5771"
"5771","5704"
"5770","35704"
"5770","5770"
"5768","5768"
"5765","5765"
"5765","5711"
"5763","5763"
"5763","5713"
"5763","5586"
"5761","5761"
"5761","5714"
"5760","5801"
"5760","5760"
"5759","5759"
"5759","5715"
"5757","5757"
"5757","5718"
"5756","5756"
"5756","5719"
"5755","5755"
"5755","5720"
"5754","5754"
"5754","5721"
"5753","5753"
"5753","5722"
"5752","5752"
"5752","5723"
"5751","5751"
"5751","5725"
"5750","5750"
"5750","5726"
"5749","5749"
"5749","5728"
"5749","5613"
"5748","5748"
"5748","5729"
"5747","5747"
"5747","5731"
"5747","5730"
"5746","5746"
"5746","5732"
"5745","5745"
"5745","5733"
"5743","5867"
"5743","5854"
"5743","5743"
"5742","5742"
"5742","5737"
"5740","place-mvbcl"
"5740","70046"
"5740","70045"
"5740","57400"
"5740","5740"
"5737","5742"
"5737","5737"
"5736","5736"
"5734","5902"
"5734","5734"
"5733","5745"
"5733","5733"
"5732","5746"
"5732","5732"
"5731","5747"
"5731","5731"
"5730","5747"
"5730","5730"
"5729","5748"
"5729","5729"
"5728","5749"
"5728","5728"
"5728","5613"
"5726","5750"
"5726","5726"
"5725","5751"
"5725","5725"
"5724","35751"
"5724","5724"
"5724","5610"
"5723","5752"
"5723","5723"
"5722","5753"
"5722","5722"
"5721","5754"
"5721","5721"
"5720","5755"
"5720","5720"
"5719","5756"
"5719","5719"
"5718","5757"
"5718","5718"
"5715","5759"
"5715","5715"
"5714","5761"
"5714","5714"
"5713","5763"
"5713","5713"
"5713","5586"
"5711","5765"
"5711","5711"
"5709","5709"
"5704","5771"
"5704","5704"
"5703","35772"
"5703","5703"
"5701","5701"
"5700","5774"
"5700","5700"
"5700","4736"
"5700","4714"
"5695","5695"
"5695","5559"
"5695","5496"
"5693","5693"
"5693","5637"
"5692","5692"
"5692","5638"
"5691","5691"
"5691","5639"
"5689","5689"
"5689","5642"
"5688","5688"
"5688","5644"
"5688","5643"
"5687","15625"
"5687","5687"
"5687","5644"
"5685","5685"
"5685","5646"
"5684","74631"
"5684","74630"
"5684","5684"
"5684","5647"
"5682","5682"
"5679","56641"
"5679","5846"
"5679","5679"
"5678","5678"
"5678","5654"
"5678","5614"
"5676","5676"
"5676","5656"
"5675","5675"
"5675","5657"
"5674","5674"
